순번,한자,급수,부수,음,훈,音,訓
264,喚,3,口,환,부르다,カン,よ(ぶ)・さけ(ぶ)・わめ(く)
265,堪,2.5,土,감,"견디다, 참다",カン・タン,た(える)・こら(える)・こた(える)・たま(る)
266,換,3,手,환,바꾸다,カン,か(える)・か(わる)
267,敢,3,攵,감,"용감, 감히",カン,あ(えて)
268,棺,2.5,木,관,관,カン,ひつぎ
269,款,2.5,欠,관,항목,カン,まこと・よろこ(ぶ)・たた(く)・しる(す)
270,間,9,門,간,사이,カン・ケン,あいだ・ま・はざま・あい・うかが(う)・ひそ(かに)・しず(か)
271,閑,2.5,門,한,한가하다,カン,ひま・しず(か)・なら(う)
272,勧,4,力,권,권하다,カン・ケン,すす(める)
273,寛,2.5,宀,관,너그럽다,カン,ひろ(い)・ゆる(やか)・くつろ(ぐ)
274,幹,6,干,간,줄기,カン,みき・から・わざ
275,感,8,心,감,느낌,カン,無し
276,漢,8,水,한,한자,カン,おとこ・から
277,慣,6,心,관,익숙하다,カン,な(れる)・な(らす)・ならわし
278,管,7,竹,관,관리,カン,くだ・ふえ・つかさど(る)
279,関,7,門,관,관계,カン,せき・かか(わる)・からくり・かんぬき
280,歓,4,欠,환,기쁘다,カン,よろこ(ぶ)
281,監,4,皿,감,보다,カン・ケン,み(る)・かんがみ(る)・しら(べる)
282,緩,3,糸,완,"느슨하다, 완화하다, 늦추다",カン,ゆる(い)・ゆる(やか)・ゆる(む)・ゆる(める)・ぬる(い)
283,憾,2.5,心,감,섭섭하다,カン,うら(む)
284,還,2.5,辵,환,돌아오다,カン・ゲン,かえ(る)・かえ(す)・また
285,館,8,食,관,"집, 저택",カン,やかた・たて・たち
286,環,4,玉,환,고리,カン,たまき・わ・めぐ(る)
287,簡,5,竹,간,간단,カン・ケン,ふだ・えら(ぶ)
288,観,7,見,관,보다,カン,み(る)
289,韓,2,韋,한,한국,カン,から
290,艦,2.5,舟,함,배,カン,いくさぶね
291,鑑,4,金,감,살펴보다,カン,かんが(みる)・かがみ
292,丸,9,丶,환,"통째로, 둥글다",ガン,まる・まる(い)・まる(める)・たま
293,含,4,口,함,포함하다,ガン・カン・ゴン,ふく(む)・ふく(める)
294,岸,8,山,안,"물가, 벼랑",ガン,きし・かどだ(つ)
295,岩,9,山,암,바위,ガン,いわ
296,玩,2,玉,완,즐기다,ガン,もてあそ(ぶ)・あじ(わう)
297,眼,6,目,안,눈,ガン・ゲン,まなこ・め
298,頑,2.5,頁,완,완고하다,ガン,かたくな
299,顔,9,頁,안,얼굴,ガン,かお・かんばせ
300,願,7,頁,원,"부탁, 바라다",ガン,ねが(う)
301,企,3,人,기,"꾀하다, 꾸미다",キ,くわだ(てる)・たくら(む)
302,伎,2,人,기,기예,キ・ギ,わざ・たくみ
303,危,5,卩,위,"위험하다, 걱정하다, 의심하다",キ,あぶ(ない)・あや(うい)・あや(ぶむ)・あや(める)・たか(い)
304,机,5,木,궤,책상,キ,つくえ
305,気,10,气,기,"기운, 기체",キ・ケ,いき
306,岐,7,山,기,갈림길,キ・ギ,わか(れる)・ちまた
307,希,7,巾,희,바라다,キ・ケ,まれ・こいねが(う)
308,忌,3,心,기,"기피하다, 꺼림칙하다",キ,い(む)・い(まわしい)
309,汽,9,水,기,김,キ,ゆげ
310,奇,4,大,기,기이하다,キ,めずら(しい)・く(し)・あや(しい)
311,祈,4,示,기,빌다,キ,いの(る)
312,季,7,子,계,계절,キ,すえ
313,紀,6,糸,기,벼리,キ,のり・しる(す)・おさ(める)
314,軌,3,車,궤,바퀴자국,キ,わだち
315,既,3,无,기,"이미, 벌써",キ,すで(に)
316,記,9,言,기,기록하다,キ,しる(す)
317,起,8,走,기,"일어나다, 일으키다",キ,お(きる)・お(こる)・お(こす)・た(つ)
318,飢,2.5,食,기,굶주리다,キ,う(える)
319,鬼,4,鬼,귀,"귀신, 도깨비",キ,おに
320,帰,9,巾,귀,"돌아가다, 돌아오다, 돌려보내다",キ,かえ(る)・かえ(す)・とつ(ぐ)・おく(る)
321,基,6,土,기,기본,キ,もと・もとい
322,寄,6,宀,기,"접근하다, 밀려오다",キ,よ(る)・よ(せる)
323,規,6,見,규,법,キ,のり・ただ(す)
324,亀,2,亀,귀,거북이,キ・キュウ・キン,かめ・あかぎれ
325,喜,6,口,희,기뻐하다,キ,よろこ(ぶ)
326,幾,4,幺,기,얼마,キ,いく・ほとん(ど)・きざ(し)・こいねが(う)
327,揮,5,手,휘,휘두르다,キ,ふる(う)
328,期,8,月,기,기간,キ・ゴ,とき・ちぎ(る)・き(める)
329,棋,3,木,기,바둑,キ・ゴ,無し
330,貴,5,貝,귀,"귀중하다, 공경하다",キ,たっと(い)・とうと(い)・たっと(ぶ)・とうと(ぶ)・たか(い)
331,棄,3,木,기,버리다,キ,す(てる)
