순번,한자,급수,부수,음,훈,音,訓,예시 단어
146,夏,9,夂,하,여름,カ・ゲ,なつ,"夏季(かき), 昨夏(さくか), 夏休み(なつやすみ), 今夏(こんか), 夏場(なつば)"
147,家,9,宀,가,집,カ・ケ,いえ・や・うち,"家族(かぞく), 家庭(かてい), 実家(じっか), 作家(さっか), 農家(のうか)"
148,荷,8,艸,하,짐,カ,に・にな(う)・はす,"出荷(しゅっか), 荷物(にもつ), 負荷(ふか), 入荷(にゅうか), 重荷(おもに)"
149,華,3,艸,화,"꽃, 화려하다",カ・ケ・ゲ,はな・しろ(い),"豪華(ごうか), 華やか(はなやか), 華麗(かれい), 中華(ちゅうか), 繁華街(はんかがい)"
150,菓,4,艸,과,과자,カ,くだもの,"お菓子(おかし), 菓子(かし), 洋菓子(ようがし), 和菓子(わがし), 製菓(せいか)"
151,貨,7,貝,화,재물,カ,たから,"百貨店(ひゃっかてん), 通貨(つうか), 貨物(かぶつ), 雑貨(ざっか), 外貨(がいか)"
152,渦,2.5,水,와,소용돌이,カ,うず,"渦中(かちゅう), 渦巻(うずまき), 渦巻く(うずまく)"
153,過,6,辵,과,"지나다, 보내다, 잘못하다",カ,す(ぎる)・す(ごす)・あやま(つ)・あやま(ち)・よぎ(る)・とが,"過去(かこ), 過ぎ(すぎ), 経過(けいか), 過程(かてい), 過ごす(すごす)"
154,嫁,3,女,가,"며느리, 시집가다",カ,よめ・とつ(ぐ),"お嫁さん(およめさん), 花嫁(はなよめ), 嫁さん(よめさん), 兄嫁(あによめ), 嫁入り(よめいり)"
155,暇,4,日,가,"틈, 시간",カ,ひま・いとま,"休暇(きゅうか), 育児休暇(いくじきゅうか), 有給休暇(ゆうきゅうきゅうか), 暇つぶし(ひまつぶし), 余暇(よか)"
156,禍,2.5,示,화,재앙,カ,わざわ(い)・まが,
157,靴,2.5,革,화,신발,カ,くつ,"靴下(くつした), 長靴(ちょうか), 靴磨き(くつみがき)"
158,寡,2.5,宀,과,적다,カ,すく(ない)・やもめ,"寡黙(かもく), 寡婦(かふ)"
159,歌,9,欠,가,노래,カ,うた・うた(う),"和歌(わか), 歌手(かしゅ), 主題歌(しゅだいか), 歌う(うたう), 歌詞(かし)"
160,箇,4,竹,개,낱,カ・コ,無し,"箇所(かしょ), 箇条書き(かじょうがき)"
161,稼,2.5,禾,가,돈을 벌다,カ,かせ(ぐ)・みの(り)・う(える),"稼働(かどう), 稼ぎ(かせぎ), 稼ぐ(かせぐ), 稼げる(かせげる), 稼動(かどう)"
162,課,7,言,과,공부,カ,わりあ(てる)・はか(る)・こころ(みる),"課題(かだい), 課長(かちょう), 課税(かぜい), 放課後(ほうかご), 課程(かてい)"
163,蚊,2.5,虫,문,모기,ブン,か,
164,牙,2,牙,아,어금니,ガ・ゲ,きば・は・さいとり,牙城(がじょう)
165,瓦,2,瓦,와,"기와, 그램",ガ,かわら・かわらけ・グラム,青瓦台(せいがだい)
166,我,5,戈,아,나,ガ,われ・わ,"我々(われわれ), 我慢(がまん), 我が家(わがいえ), 我が子(わがこ), 我が(わが)"
167,画,9,田,"화, 획",그림,ガ・カク,え・えが(く)・か(く)・かぎ(る)・はか(る),"映画(えいが), 計画(けいかく), 画面(えづら), 企画(きかく), 動画(どうが)"
