순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
1389,駐,,3,馬,주,머무르다,チュウ,,チュ,とど(まる),チュウ・チュ,とど(まる)
1390,著,著,5,艸,저,"저술하다, 두드러지다",チョ,あらわ(す)・いちじる(しい),チャク・ジャク,き(る)・つ(く),チョ・チャク・ジャク,あらわ(す)・いちじる(しい)・き(る)・つ(く)
1391,貯,,6,貝,저,쌓다,チョ,,,たくわ(える),チョ,たくわ(える)
1392,丁,,8,一,정,정중함,チョウ・テイ,,トウ,ひのと・あ(たる),チョウ・テイ・トウ,ひのと・あ(たる)
1393,弔,,2.5,弓,조,문상하다,チョウ,とむら(う),,,チョウ,とむら(う)
1394,庁,廳,5,广,청,관청,チョウ,,テイ,,チョウ・テイ,無し
1395,兆,,7,儿,조,"1,000,000,000,000, 징조, 싹트다",チョウ,きざ(す)・きざ(し),ジョウ,うらな(い),チョウ・ジョウ,きざ(す)・きざ(し)・うらな(い)
1396,町,,10,田,정,마을,チョウ,まち,テイ,あぜみち,チョウ・テイ,まち・あぜみち
1397,長,,9,長,장,"길다, 윗 사람",チョウ,なが(い),ジョウ,た(ける)・おさ,チョウ・ジョウ,なが(い)・た(ける)・おさ
1398,挑,,2.5,手,도,도전하다,チョウ,いど(む),,,チョウ,いど(む)
1399,帳,,8,巾,장,수첩,チョウ,,,とばり,チョウ,とばり
1400,張,,6,弓,장,"뻗다, 팽팽해지다",チョウ,は(る),,,チョウ,は(る)
1401,彫,,3,彡,조,새기다,チョウ,ほ(る),,,チョウ,ほ(る)
1402,眺,,2.5,目,조,바라보다,チョウ,なが(める),,,チョウ,なが(める)
1403,釣,,2.5,金,조,낚다,チョウ,つ(る),,,チョウ,つ(る)
1404,頂,,5,頁,정,"받다, 모시다, 꼭대기",チョウ,いただ(く)・いただき,テイ,,チョウ・テイ,いただ(く)・いただき
1405,鳥,,9,鳥,조,새,チョウ,とり,,,チョウ,とり
1406,朝,,9,月,조,아침,チョウ,あさ,,あした,チョウ,あさ・あした
1407,貼,,2,貝,첩,바르다,チョウ,は(る),テン,つ(ける),チョウ・テン,は(る)・つ(ける)
1408,超,,3,走,초,넘다,チョウ,こ(える)・こ(す),,,チョウ,こ(える)・こ(す)
1409,腸,,5,肉,장,창자,チョウ,,,はらわた・わた,チョウ,はらわた・わた
1410,跳,,4,足,도,뛰다,チョウ,は(ねる)・と(ぶ),,おど(る),チョウ,は(ねる)・と(ぶ)・おど(る)
1411,徴,徵,4,彳,징,부르다,チョウ,,チ,しるし・め(す),チョウ・チ,しるし・め(す)
1412,嘲,嘲,2,口,조,비웃다,チョウ,あざけ(る),トウ,からか(う),チョウ・トウ,あざけ(る)・からか(う)
1413,潮,,5,水,조,바닷물,チョウ,しお,,うしお,チョウ,しお・うしお
1414,澄,,4,水,징,맑다,チョウ,す(む)・す(ます),,,チョウ,す(む)・す(ます)
1415,調,,8,言,조,"조사하다, 찾다, 성립되다, 갖추다",チョウ,しら(べる)・ととの(う)・ととの(える),,やわら(ぐ)・あざけ(る)・みつぎ,チョウ,しら(べる)・ととの(う)・ととの(える)・やわら(ぐ)・あざけ(る)・みつぎ
1416,聴,聽,3,耳,청,듣다,チョウ,き(く),テイ,ゆる(す),チョウ・テイ,き(く)・ゆる(す)
1417,懲,懲,2.5,心,징,"질리다, 벌주다",チョウ,こ(りる)・こ(らす)・こ(らしめる),,,チョウ,こ(りる)・こ(らす)・こ(らしめる)
